lakeid,lakename,year4,daynum,sampledate,standard_taxon_code,group_code,taxon_name,number_per_net,mean_length,mean_individ_biomass,net_efficiency_measured,net_efficiency_mean,abundance_raw,abundance,biomass
R,Peter Lake,1984,156,6/4/84,KTEST,ROT,Keratella testudo,100,0.12,0.003,NA,0.177230056,1414.710605,7982.340214,2.39E-05
R,Peter Lake,1984,156,6/4/84,NAUP,OCOP,Nauplii,4800,0.23,1.008,NA,0.143749886,67906.10905,472390.6992,0.476169825
R,Peter Lake,1984,156,6/4/84,ORTH,OCOP,Orthocyclops modestus,99,0.91,6.153,NA,0.239530296,1400.563499,5847.124657,0.035977358
R,Peter Lake,1984,156,6/4/84,PVULG,ROT,Polyarthra vulgaris,2132,0.12,0.048,NA,0.177230056,30161.6301,170183.4934,0.008168808
R,Peter Lake,1984,156,6/4/84,FDIAPT,OCOP,Skistodiaptomus sp.,80,1.11,4.39,NA,0.168478539,1131.768484,6717.582479,0.029490187
R,Peter Lake,1984,156,6/4/84,SYNCH,ROT,Synchaeta sp.,789,0.21,0.111,NA,0.177230056,11162.06668,62980.66429,0.006990854
T,Tuesday Lake,1984,157,6/5/84,BOS,CLAD,Bosmina longirostris,202,0.22,0.327,NA,0.082763797,2857.715423,34528.5685,0.011290842
T,Tuesday Lake,1984,157,6/5/84,COPD,OCOP,Copepodite,3282,0.41,0.804,NA,0.259137024,46430.80206,179174.7135,0.14405647
T,Tuesday Lake,1984,157,6/5/84,MSBR,ROT,Gastropus hyptopus,2726,0.11,0.027,NA,0.202,38565.0111,190915.8965,0.005154729
T,Tuesday Lake,1984,157,6/5/84,GSTYL,ROT,Gastropus stylifer,202,0.11,0.027,NA,0.202,2857.715423,14147.10605,0.000381972
T,Tuesday Lake,1984,157,6/5/84,KBOST,ROT,Kellicotia bostoniensis,606,0.11,0.004,NA,0.103333333,8573.146268,82965.93162,0.000331864
T,Tuesday Lake,1984,157,6/5/84,KCOCH,ROT,Keratella cochlearis,8937,0.1,0.002,NA,0.157,126432.6868,805303.7375,0.001610607
T,Tuesday Lake,1984,157,6/5/84,NAUP,OCOP,Nauplii,2524,0.17,0.875,NA,0.119847113,35707.29568,297940.3901,0.260697841
T,Tuesday Lake,1984,157,6/5/84,ORTH,OCOP,Orthocyclops modestus,202,0.83,4.865,NA,0.162086916,2857.715423,17630.75946,0.085773645
T,Tuesday Lake,1984,157,6/5/84,PVULG,ROT,Polyarthra vulgaris,3635,0.14,0.077,NA,0.3135,51424.7305,164034.2281,0.012630636
T,Tuesday Lake,1984,157,6/5/84,MSBR,ROT,single Conochilus sp.,353,0.11,0.01,NA,0.1621,4993.928437,30807.70164,0.000308077
T,Tuesday Lake,1984,157,6/5/84,SYNCH,ROT,Synchaeta sp.,505,0.2,0.096,NA,0.100666667,7144.288557,70969.75387,0.006813096
T,Tuesday Lake,1984,157,6/5/84,TMULT,ROT,Trichocerca multicrinis,959,0.15,0.05,NA,0.059666667,13567.0747,227381.1403,0.011369057
T,Tuesday Lake,1984,157,6/5/84,TROP,OCOP,Tropocyclops prasinus mexicanus,51,0.5,1.334,NA,0.162086916,721.5024087,4451.330358,0.005938075
L,Paul Lake,1984,162,6/10/84,ASPLG,PROT,Asplanchna sp.,150,0.52,3.234,NA,0.136313053,2122.065908,15567.59136,0.05034559
L,Paul Lake,1984,162,6/10/84,CCOL,ROT,colonial Conochilus sp.,343,0.18,2.91,NA,0.2166,4852.457376,22402.8503,0.065192294
L,Paul Lake,1984,162,6/10/84,COPD,OCOP,Copepodite,1129,0.46,1.078,NA,0.195779392,15972.08273,81582.04296,0.087945442
L,Paul Lake,1984,162,6/10/84,DT-CYV,OCOP,Cyclops varicans rubellus,118,0.72,3.384,NA,0.19556779,1669.358514,8535.958391,0.028885683
L,Paul Lake,1984,162,6/10/84,DPUL,CLAD,Daphnia pulex,639,1.26,13.107,NA,0.143798337,9040.000768,62865.82298,0.823982342
L,Paul Lake,1984,162,6/10/84,EPSH,CCOP,Epischura lacustris,51,1.82,13.444,0.137,0.255047885,721.5024087,2828.889989,0.038031597
L,Paul Lake,1984,162,6/10/84,FIL,ROT,Filinia longispina,4339,0.14,0.036,NA,0.143798337,61384.29316,426877.6306,0.015367595
L,Paul Lake,1984,162,6/10/84,MSBR,ROT,Gastropus hyptopus,6847,0.13,0.044,NA,0.143798337,96865.23514,673618.6071,0.029639219
L,Paul Lake,1984,162,6/10/84,HGIB,CLAD,Holopedium gibberum,167,0.62,3.613,NA,0.181128487,2362.566711,13043.59543,0.04712651
L,Paul Lake,1984,162,6/10/84,KBOST,ROT,Kellicotia bostoniensis,79,0.12,0.005,NA,0.143798337,1117.621378,7772.143999,3.89E-05
L,Paul Lake,1984,162,6/10/84,KCOCH,ROT,Keratella cochlearis,3275,0.1,0.002,NA,0.143798337,46331.77232,322199.6405,0.000644399
L,Paul Lake,1984,162,6/10/84,KTEST,ROT,Keratella testudo,444,0.11,0.003,NA,0.143798337,6281.315087,43681.41691,0.000131044
L,Paul Lake,1984,162,6/10/84,MESO,CCOP,Mesocyclops edax,59,1.25,12.751,NA,0.169252581,834.6792571,4931.559983,0.062882321
L,Paul Lake,1984,162,6/10/84,NAUP,OCOP,Nauplii,5275,0.2,0.944,NA,0.184969965,74625.98443,403449.1995,0.380856044
L,Paul Lake,1984,162,6/10/84,ORTH,OCOP,Orthocyclops modestus,297,0.83,4.865,NA,0.19556779,4201.690498,21484.57324,0.104522449
L,Paul Lake,1984,162,6/10/84,PVULG,ROT,Polyarthra vulgaris,1655,0.12,0.048,NA,0.143798337,23413.46052,162821.4977,0.007815432
R,Peter Lake,1984,163,6/11/84,AEUC,ROT,Ascomorpha ecaudis,230,0.15,0.041,NA,0.177230056,3253.834392,18359.38249,0.000752735
R,Peter Lake,1984,163,6/11/84,ASPLG,PROT,Asplanchna sp.,29,0.38,1.262,NA,0.125464151,410.2660755,3269.986464,0.004126723
R,Peter Lake,1984,163,6/11/84,CCOL,ROT,colonial Conochilus sp.,7,0.18,2.91,NA,0.142,99.02974237,697.3925519,0.002029412
R,Peter Lake,1984,163,6/11/84,COPD,OCOP,Copepodite,5773,0.51,1.403,NA,0.172107014,81671.24324,474537.5638,0.665776202
R,Peter Lake,1984,163,6/11/84,DT-CYV,OCOP,Cyclops varicans rubellus,59,0.91,6.153,NA,0.239530296,834.6792571,3484.650048,0.021441052
R,Peter Lake,1984,163,6/11/84,DPUL,CLAD,Daphnia pulex,446,1.41,17.798,NA,0.177230056,6309.609299,35601.23735,0.633630822
R,Peter Lake,1984,163,6/11/84,FDIAPT,OCOP,Diaptomus oregonensis,3887,0.69,1.497,NA,0.168478539,54989.80123,326390.5387,0.488606636
R,Peter Lake,1984,163,6/11/84,EPSH,CCOP,Epischura lacustris,18,1.81,13.277,NA,0.092263018,254.6479089,2760.021452,0.036644805
R,Peter Lake,1984,163,6/11/84,FIL,ROT,Filinia longispina,20,0.14,0.036,NA,0.177230056,282.9421211,1596.468043,5.75E-05
R,Peter Lake,1984,163,6/11/84,GSTYL,ROT,Gastropus stylifer,2556,0.11,0.027,NA,0.177230056,36160.00307,204028.6159,0.005508773
R,Peter Lake,1984,163,6/11/84,HGIB,CLAD,Holopedium gibberum,199,1.11,12.276,NA,0.157585475,2815.274104,17865.06084,0.219311487
R,Peter Lake,1984,163,6/11/84,KBOST,ROT,Kellicotia bostoniensis,410,0.14,0.008,NA,0.177230056,5800.313482,32727.59488,0.000261821
R,Peter Lake,1984,163,6/11/84,KCOCH,ROT,Keratella cochlearis,822,0.11,0.003,NA,0.177230056,11628.92118,65614.83656,0.000196845
R,Peter Lake,1984,163,6/11/84,KTEST,ROT,Keratella testudo,140,0.12,0.003,NA,0.177230056,1980.594847,11175.2763,3.35E-05
R,Peter Lake,1984,163,6/11/84,NAUP,OCOP,Nauplii,3738,0.23,1.008,NA,0.143749886,52881.88242,367874.257,0.370817251
R,Peter Lake,1984,163,6/11/84,ORTH,OCOP,Orthocyclops modestus,194,0.98,7.434,NA,0.239530296,2744.538574,11458.00185,0.085178786
R,Peter Lake,1984,163,6/11/84,PVULG,ROT,Polyarthra vulgaris,4140,0.13,0.062,NA,0.177230056,58569.01906,330468.8848,0.020489071
R,Peter Lake,1984,163,6/11/84,SYNCH,ROT,Synchaeta sp.,1193,0.2,0.096,NA,0.177230056,16877.49752,95229.31875,0.009142015
T,Tuesday Lake,1984,164,6/12/84,AEUC,ROT,Ascomorpha ecaudis,40,0.12,0.021,NA,0.088,565.8842421,6430.502751,0.000135041
T,Tuesday Lake,1984,164,6/12/84,BOS,CLAD,Bosmina longirostris,26,0.17,0.17,NA,0.082763797,367.8247574,4444.271193,0.000755526
T,Tuesday Lake,1984,164,6/12/84,COPD,OCOP,Copepodite,1861,0.43,0.908,NA,0.259137024,26327.76436,101597.8494,0.092250847
T,Tuesday Lake,1984,164,6/12/84,DPUL,CLAD,Daphnia pulex,13,1.17,10.714,NA,0.132,183.9123787,1393.275596,0.014927555
T,Tuesday Lake,1984,164,6/12/84,FIL,ROT,Filinia longispina,13,0.14,0.036,NA,0.097823529,183.9123787,1880.042356,6.77E-05
T,Tuesday Lake,1984,164,6/12/84,MSBR,ROT,Gastropus hyptopus,2983,0.11,0.027,NA,0.202,42200.81735,208914.9374,0.005640703
T,Tuesday Lake,1984,164,6/12/84,GSTYL,ROT,Gastropus stylifer,66,0.11,0.027,NA,0.202,933.7089995,4622.32178,0.000124803
T,Tuesday Lake,1984,164,6/12/84,KBOST,ROT,Kellicotia bostoniensis,436,0.09,0.002,NA,0.103333333,6168.138239,59691.66038,0.000119383
T,Tuesday Lake,1984,164,6/12/84,KCOCH,ROT,Keratella cochlearis,3986,0.1,0.002,NA,0.157,56390.36473,359174.2976,0.000718349
T,Tuesday Lake,1984,164,6/12/84,KTEST,ROT,Keratella testudo,66,0.12,0.003,NA,0.1325,933.7089995,7046.860373,2.11E-05
T,Tuesday Lake,1984,164,6/12/84,NAUP,OCOP,Nauplii,2442,0.17,0.875,NA,0.119847113,34547.23298,288260.8687,0.25222826
T,Tuesday Lake,1984,164,6/12/84,ORTH,OCOP,Orthocyclops modestus,442,0.82,4.716,NA,0.162086916,6253.020875,38578.19643,0.181934774
T,Tuesday Lake,1984,164,6/12/84,PVULG,ROT,Polyarthra vulgaris,1993,0.12,0.048,NA,0.3135,28195.18236,89936.78585,0.004316966
T,Tuesday Lake,1984,164,6/12/84,SYNCH,ROT,Synchaeta sp.,158,0.18,0.07,NA,0.100666667,2235.242756,22204.39824,0.001554308
T,Tuesday Lake,1984,164,6/12/84,TMULT,ROT,Trichocerca multicrinis,264,0.15,0.05,NA,0.059666667,3734.835998,62595.01672,0.003129751
T,Tuesday Lake,1984,164,6/12/84,TROP,OCOP,Tropocyclops prasinus mexicanus,594,0.44,0.962,NA,0.162086916,8403.380995,51844.90652,0.0498748
L,Paul Lake,1984,169,6/17/84,ASPLG,PROT,Asplanchna sp.,257,0.61,5.221,NA,0.136313053,3635.806256,26672.47319,0.139256983
L,Paul Lake,1984,169,6/17/84,CCOL,ROT,colonial Conochilus sp.,167,0.19,2.35,NA,0.2166,2362.566711,10907.51021,0.025632649
L,Paul Lake,1984,169,6/17/84,COPD,OCOP,Copepodite,1762,0.46,1.078,NA,0.195779392,24927.20086,127322.905,0.137254092
L,Paul Lake,1984,169,6/17/84,DPUL,CLAD,Daphnia pulex,554,1.26,13.107,NA,0.143798337,7837.496753,54503.38957,0.714375927
L,Paul Lake,1984,169,6/17/84,EPSH,CCOP,Epischura lacustris,43,1.82,13.444,0.137,0.255047885,608.3255603,2385.14254,0.032065856
L,Paul Lake,1984,169,6/17/84,FIL,ROT,Filinia longispina,1248,0.14,0.036,NA,0.143798337,17655.58835,122780.1989,0.004420087
L,Paul Lake,1984,169,6/17/84,MSBR,ROT,Gastropus hyptopus,2712,0.13,0.044,NA,0.143798337,38366.95161,266810.8168,0.011739676
L,Paul Lake,1984,169,6/17/84,HGIB,CLAD,Holopedium gibberum,435,0.97,9.249,NA,0.181128487,6153.991133,33975.83242,0.314242474
L,Paul Lake,1984,169,6/17/84,KBOST,ROT,Kellicotia bostoniensis,60,0.12,0.005,NA,0.143798337,848.8263632,5902.894177,2.95E-05
L,Paul Lake,1984,169,6/17/84,KCOCH,ROT,Keratella cochlearis,1485,0.11,0.003,NA,0.143798337,21008.45249,146096.6309,0.00043829
L,Paul Lake,1984,169,6/17/84,KTEST,ROT,Keratella testudo,158,0.11,0.003,NA,0.143798337,2235.242756,15544.288,4.66E-05
L,Paul Lake,1984,169,6/17/84,MESO,CCOP,Mesocyclops edax,11,1.5,26.287,NA,0.169252581,155.6181666,919.4433866,0.024169408
L,Paul Lake,1984,169,6/17/84,NAUP,OCOP,Nauplii,3109,0.2,0.944,NA,0.184969965,43983.35272,237786.4571,0.224470415
L,Paul Lake,1984,169,6/17/84,ORTH,OCOP,Orthocyclops modestus,317,0.86,5.326,NA,0.19556779,4484.632619,22931.34585,0.122132348
L,Paul Lake,1984,169,6/17/84,PVULG,ROT,Polyarthra vulgaris,633,0.12,0.048,NA,0.143798337,8955.118131,62275.53357,0.002989226
R,Peter Lake,1984,170,6/18/84,AEUC,ROT,Ascomorpha ecaudis,60,0.15,0.041,NA,0.177230056,848.8263632,4789.404128,0.000196366
R,Peter Lake,1984,170,6/18/84,CCOL,ROT,colonial Conochilus sp.,21,0.19,2.33,NA,0.142,297.0892271,2092.177656,0.004874774
R,Peter Lake,1984,170,6/18/84,COPD,OCOP,Copepodite,2257,0.51,1.403,NA,0.172107014,31930.01836,185524.213,0.260290471
R,Peter Lake,1984,170,6/18/84,DT-CYV,OCOP,Cyclops varicans rubellus,692,0.68,2.924,NA,0.239530296,9789.797388,40870.81073,0.119506251
R,Peter Lake,1984,170,6/18/84,DPUL,CLAD,Daphnia pulex,257,1.27,13.392,NA,0.177230056,3635.806256,20514.61435,0.274731715
R,Peter Lake,1984,170,6/18/84,FDIAPT,OCOP,Diaptomus oregonensis,2296,0.74,1.753,NA,0.168478539,32481.7555,192794.6172,0.337968964
R,Peter Lake,1984,170,6/18/84,EPSH,CCOP,Epischura lacustris,7,1.81,13.277,NA,0.092263018,99.02974237,1073.341676,0.014250757
R,Peter Lake,1984,170,6/18/84,FIL,ROT,Filinia longispina,60,0.15,0.044,NA,0.177230056,848.8263632,4789.404128,0.000210734
R,Peter Lake,1984,170,6/18/84,GSTYL,ROT,Gastropus stylifer,2416,0.11,0.027,NA,0.177230056,34179.40822,192853.3396,0.00520704
R,Peter Lake,1984,170,6/18/84,HGIB,CLAD,Holopedium gibberum,139,0.87,7.36,NA,0.157585475,1966.447741,12478.61033,0.091842572
R,Peter Lake,1984,170,6/18/84,KBOST,ROT,Kellicotia bostoniensis,455,0.14,0.008,NA,0.177230056,6436.933254,36319.64797,0.000290557
R,Peter Lake,1984,170,6/18/84,KCOCH,ROT,Keratella cochlearis,416,0.11,0.003,NA,0.177230056,5885.196118,33206.53529,9.96E-05
R,Peter Lake,1984,170,6/18/84,KTEST,ROT,Keratella testudo,60,0.12,0.003,NA,0.177230056,848.8263632,4789.404128,1.44E-05
R,Peter Lake,1984,170,6/18/84,MESO,CCOP,Mesocyclops edax,1,1.5,26.287,NA,0.231808059,14.14710605,61.02939694,0.00160428
R,Peter Lake,1984,170,6/18/84,NAUP,OCOP,Nauplii,2534,0.23,1.008,NA,0.143749886,35848.76674,249382.9233,0.251377987
R,Peter Lake,1984,170,6/18/84,ORTH,OCOP,Orthocyclops modestus,139,0.9,5.982,NA,0.239530296,1966.447741,8209.599266,0.049109823
R,Peter Lake,1984,170,6/18/84,PVULG,ROT,Polyarthra vulgaris,4752,0.13,0.062,NA,0.177230056,67227.04796,379320.807,0.02351789
R,Peter Lake,1984,170,6/18/84,FDIAPT,OCOP,Skistodiaptomus sp.,7,1.1,4.301,NA,0.168478539,99.02974237,587.7884669,0.002528078
T,Tuesday Lake,1984,171,6/19/84,AEUC,ROT,Ascomorpha ecaudis,50,0.16,0.049,NA,0.088,707.3553026,8038.128439,0.000393868
T,Tuesday Lake,1984,171,6/19/84,BOS,CLAD,Bosmina longirostris,50,0.21,0.291,NA,0.082763797,707.3553026,8546.675372,0.002487083
T,Tuesday Lake,1984,171,6/19/84,COPD,OCOP,Copepodite,2017,0.41,0.804,NA,0.259137024,28534.71291,110114.3806,0.088531962
T,Tuesday Lake,1984,171,6/19/84,DPUL,CLAD,Daphnia pulex,2,0.65,2.166,NA,0.132,28.29421211,214.3500917,0.000464282
T,Tuesday Lake,1984,171,6/19/84,DIAPH,CLAD,Diaphanosoma birgei,2,0.38,0.266,NA,0.098631987,28.29421211,286.8664908,7.63E-05
T,Tuesday Lake,1984,171,6/19/84,MSBR,ROT,Gastropus hyptopus,4034,0.11,0.027,NA,0.202,57069.42582,282521.91,0.007628092
T,Tuesday Lake,1984,171,6/19/84,GSTYL,ROT,Gastropus stylifer,50,0.11,0.027,NA,0.202,707.3553026,3501.758924,9.45E-05
T,Tuesday Lake,1984,171,6/19/84,KBOST,ROT,Kellicotia bostoniensis,656,0.1,0.003,NA,0.103333333,9280.501571,89811.30552,0.000269434
T,Tuesday Lake,1984,171,6/19/84,KCOCH,ROT,Keratella cochlearis,3681,0.1,0.002,NA,0.157,52075.49738,331691.0661,0.000663382
T,Tuesday Lake,1984,171,6/19/84,NAUP,OCOP,Nauplii,3378,0.17,0.875,NA,0.119847113,47788.92425,398749.0641,0.348905431
T,Tuesday Lake,1984,171,6/19/84,ORTH,OCOP,Orthocyclops modestus,202,0.83,4.865,NA,0.162086916,2857.715423,17630.75946,0.085773645
T,Tuesday Lake,1984,171,6/19/84,GPLOES,ROT,Ploesoma sp.,151,0.11,0.02,NA,0.2115,2136.213014,10100.29794,0.000202006
T,Tuesday Lake,1984,171,6/19/84,PVULG,ROT,Polyarthra vulgaris,6051,0.14,0.077,NA,0.3135,85604.13872,273059.4537,0.021025578
T,Tuesday Lake,1984,171,6/19/84,MSBR,ROT,single Conochilus sp.,252,0.1,0.006,NA,0.1621,3565.070725,21993.03347,0.000131958
T,Tuesday Lake,1984,171,6/19/84,TCYL,ROT,Trichocerca cylindrica,101,0.3,0.028,NA,0.059666667,1428.857711,23947.33594,0.000670525
T,Tuesday Lake,1984,171,6/19/84,TMULT,ROT,Trichocerca multicrinis,555,0.15,0.05,NA,0.059666667,7851.643859,131591.7965,0.00657959
T,Tuesday Lake,1984,171,6/19/84,TROP,OCOP,Tropocyclops prasinus mexicanus,101,0.51,1.403,NA,0.162086916,1428.857711,8815.379728,0.012367978
L,Paul Lake,1984,176,6/24/84,AEUC,ROT,Ascomorpha ecaudis,20,0.15,0.041,NA,0.143798337,282.9421211,1967.631392,8.07E-05
L,Paul Lake,1984,176,6/24/84,ASPLG,PROT,Asplanchna sp.,198,0.62,5.482,NA,0.136313053,2801.126998,20549.22059,0.112650827
L,Paul Lake,1984,176,6/24/84,CCOL,ROT,colonial Conochilus sp.,122,0.18,2.91,NA,0.2166,1725.946938,7968.36075,0.02318793
L,Paul Lake,1984,176,6/24/84,COPD,OCOP,Copepodite,990,0.46,1.078,NA,0.195779392,14005.63499,71537.84103,0.077117793
L,Paul Lake,1984,176,6/24/84,DPUL,CLAD,Daphnia pulex,257,1.2,11.478,NA,0.143798337,3635.806256,25284.06339,0.29021048
L,Paul Lake,1984,176,6/24/84,EPSH,CCOP,Epischura lacustris,59,1.84,13.78,0.137,0.255047885,834.6792571,3272.637439,0.045096944
L,Paul Lake,1984,176,6/24/84,FIL,ROT,Filinia longispina,535,0.14,0.036,NA,0.143798337,7568.701738,52634.13974,0.001894829
L,Paul Lake,1984,176,6/24/84,MSBR,ROT,Gastropus hyptopus,1742,0.13,0.044,NA,0.143798337,24644.25874,171380.6943,0.007540751
L,Paul Lake,1984,176,6/24/84,GSTYL,ROT,Gastropus stylifer,20,0.11,0.027,NA,0.143798337,282.9421211,1967.631392,5.31E-05
L,Paul Lake,1984,176,6/24/84,HGIB,CLAD,Holopedium gibberum,158,1.06,11.143,NA,0.181128487,2235.242756,12340.64718,0.137511831
L,Paul Lake,1984,176,6/24/84,KBOST,ROT,Kellicotia bostoniensis,20,0.13,0.007,NA,0.143798337,282.9421211,1967.631392,1.38E-05
L,Paul Lake,1984,176,6/24/84,KCOCH,ROT,Keratella cochlearis,634,0.11,0.003,NA,0.143798337,8969.265237,62373.91513,0.000187122
L,Paul Lake,1984,176,6/24/84,KTEST,ROT,Keratella testudo,139,0.11,0.003,NA,0.143798337,1966.447741,13675.03818,4.10E-05
L,Paul Lake,1984,176,6/24/84,MESO,CCOP,Mesocyclops edax,20,1.57,31.503,NA,0.169252581,282.9421211,1671.715248,0.052664045
L,Paul Lake,1984,176,6/24/84,NAUP,OCOP,Nauplii,1049,0.2,0.944,NA,0.184969965,14840.31425,80230.94033,0.075738008
L,Paul Lake,1984,176,6/24/84,ORTH,OCOP,Orthocyclops modestus,218,0.91,6.153,NA,0.19556779,3084.069119,15769.82143,0.097031711
L,Paul Lake,1984,176,6/24/84,PVULG,ROT,Polyarthra vulgaris,257,0.12,0.048,NA,0.143798337,3635.806256,25284.06339,0.001213635
L,Paul Lake,1984,176,6/24/84,TCYL,ROT,Trichocerca cylindrica,79,0.21,0.07,NA,0.143798337,1117.621378,7772.143999,0.00054405
R,Peter Lake,1984,177,6/25/84,AEUC,ROT,Ascomorpha ecaudis,158,0.15,0.041,NA,0.177230056,2235.242756,12612.09754,0.000517096
R,Peter Lake,1984,177,6/25/84,ASPLG,PROT,Asplanchna sp.,20,0.38,1.262,NA,0.125464151,282.9421211,2255.163079,0.002846016
R,Peter Lake,1984,177,6/25/84,CCOL,ROT,colonial Conochilus sp.,79,0.18,2.91,NA,0.142,1117.621378,7870.573086,0.022903368
R,Peter Lake,1984,177,6/25/84,COPD,OCOP,Copepodite,1406,0.51,1.403,NA,0.172107014,19890.83111,115572.4605,0.162148162
R,Peter Lake,1984,177,6/25/84,DT-CYV,OCOP,Cyclops varicans rubellus,435,0.76,3.885,NA,0.239530296,6153.991133,25691.91137,0.099813076
R,Peter Lake,1984,177,6/25/84,DPUL,CLAD,Daphnia pulex,297,1.21,11.74,NA,0.177230056,4201.690498,23707.55043,0.278326642
R,Peter Lake,1984,177,6/25/84,FDIAPT,OCOP,Diaptomus oregonensis,1267,0.78,1.975,NA,0.168478539,17924.38337,106389.7125,0.210119682
R,Peter Lake,1984,177,6/25/84,EPSH,CCOP,Epischura lacustris,6,1.81,13.277,NA,0.092263018,84.88263632,920.0071508,0.012214935
R,Peter Lake,1984,177,6/25/84,FIL,ROT,Filinia longispina,40,0.15,0.044,NA,0.177230056,565.8842421,3192.936085,0.000140489
R,Peter Lake,1984,177,6/25/84,GSTYL,ROT,Gastropus stylifer,2198,0.11,0.027,NA,0.177230056,31095.3391,175451.8379,0.0047372
R,Peter Lake,1984,177,6/25/84,HGIB,CLAD,Holopedium gibberum,377,0.99,9.654,NA,0.157585475,5333.458982,33844.86399,0.326738317
R,Peter Lake,1984,177,6/25/84,KBOST,ROT,Kellicotia bostoniensis,317,0.14,0.008,NA,0.177230056,4484.632619,25304.01848,0.000202432
R,Peter Lake,1984,177,6/25/84,KCOCH,ROT,Keratella cochlearis,455,0.11,0.003,NA,0.177230056,6436.933254,36319.64797,0.000108959
R,Peter Lake,1984,177,6/25/84,KTEST,ROT,Keratella testudo,20,0.12,0.003,NA,0.177230056,282.9421211,1596.468043,4.79E-06
