[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Sample Name	Sample ID	Result(IC)	Result(NPOC)	Unit	Vial	Date / Time	
Unknown	T25WEEK10HYPO			8.230	mg/L	16	8/28/2025 8:32:09 AM	
Unknown	L25WEEK13META			3.910	mg/L	17	8/28/2025 8:45:50 AM	
Unknown	R25WEEK12META			4.822	mg/L	18	8/28/2025 8:56:52 AM	
Unknown	L25WEEK13META dup			3.965	mg/L	17	8/28/2025 9:08:05 AM	
Unknown	blank			0.08253	mg/L	62	8/28/2025 9:18:41 AM	
Unknown	blank			0.1128	mg/L	62	8/28/2025 9:27:21 AM	
Unknown	2ppm check DOC			2.006	mg/L	63	8/28/2025 9:38:13 AM	
Unknown	20ppm DOC ICV			20.07	mg/L	61	8/28/2025 9:50:46 AM	
Unknown	R25WEEK10PML			4.132	mg/L	21	8/28/2025 10:01:51 AM	
Unknown	L25WEEK11PML			4.043	mg/L	22	8/28/2025 10:15:27 AM	
Unknown	T25WEEK11META			7.965	mg/L	23	8/28/2025 10:27:10 AM	
Unknown	R25WEEK13META			5.288	mg/L	24	8/28/2025 10:38:16 AM	
Unknown	L25WEEK11META			3.646	mg/L	25	8/28/2025 10:51:43 AM	
Unknown	L25WEEK12PML			4.750	mg/L	26	8/28/2025 11:05:09 AM	
Unknown	L25WEEK10META			4.552	mg/L	27	8/28/2025 11:16:00 AM	
Unknown	T25WEEK12META			8.028	mg/L	28	8/28/2025 11:27:25 AM	
Unknown	T25WEEK12HYPO			8.493	mg/L	29	8/28/2025 11:38:36 AM	
Unknown	R25WEEK12HYPO			4.860	mg/L	30	8/28/2025 11:49:33 AM	
Unknown	T25WEEK12HYPO dup			8.505	mg/L	29	8/28/2025 12:00:49 PM	
Unknown	blank			0.09249	mg/L	64	8/28/2025 12:13:45 PM	
Unknown	blank			0.05105	mg/L	64	8/28/2025 12:25:06 PM	
Unknown	2ppm check DOC			2.030	mg/L	63	8/28/2025 12:36:18 PM	
Unknown	20 ppm DOC ICV			20.16	mg/L	61	8/28/2025 12:48:24 PM	
Unknown	R25WEEK11HYPO			5.113	mg/L	32	8/28/2025 12:59:47 PM	
Unknown	L25WEEK11HYPO			3.730	mg/L	33	8/28/2025 1:13:12 PM	
Unknown	T25WEEK10META			7.809	mg/L	34	8/28/2025 1:24:21 PM	
Unknown	R25WEEK10HYPO			4.006	mg/L	35	8/28/2025 1:35:17 PM	
Unknown	T25WEEK11HYPO			8.403	mg/L	36	8/28/2025 1:46:27 PM	
Unknown	7/21/25 Blank			0.3883	mg/L	37	8/28/2025 1:58:58 PM	
Unknown	R25WEEK12PML			5.011	mg/L	38	8/28/2025 2:10:04 PM	
Unknown	T25WEEK10PML			7.842	mg/L	39	8/28/2025 2:21:14 PM	
Unknown	R25WEEK11META			4.466	mg/L	40	8/28/2025 2:32:05 PM	
Unknown	L25WEEK12HYPO			4.439	mg/L	41	8/28/2025 2:43:06 PM	
Unknown	R25WEEK11META			4.519	mg/L	40	8/28/2025 2:54:19 PM	
Unknown	blank			0.1111	mg/L	65	8/28/2025 3:05:07 PM	
Unknown	blank			0.08169	mg/L	65	8/28/2025 3:13:52 PM	
Unknown	2ppm check DOC			2.046	mg/L	68	8/28/2025 3:27:44 PM	
Unknown	20ppm DOC ICV			20.10	mg/L	66	8/28/2025 3:39:53 PM	
Unknown	L25WEEK13PML			4.189	mg/L	44	8/28/2025 3:51:03 PM	
Unknown	R25WEEK14META			5.123	mg/L	45	8/28/2025 4:02:01 PM	
Unknown	R25WEEK13PML			5.593	mg/L	46	8/28/2025 4:12:52 PM	
Unknown	T25WEEK14PML			8.054	mg/L	47	8/28/2025 4:24:04 PM	
Unknown	T25WEEK13HYPO			8.165	mg/L	48	8/28/2025 4:35:14 PM	
Unknown	8/14/2025 Blank			1.055	mg/L	49	8/28/2025 4:47:46 PM	
Unknown	T25WEEK11PML			8.298	mg/L	50	8/28/2025 4:58:51 PM	
Unknown	R25WEEK11PML			4.764	mg/L	51	8/28/2025 5:09:48 PM	
Unknown	R25WEEK10META			3.754	mg/L	52	8/28/2025 5:20:50 PM	
Unknown	R25WEEK14HYPO 			4.933	mg/L	53	8/28/2025 5:34:32 PM	
Unknown	R25WEEK10META			3.577	mg/L	52	8/28/2025 5:48:00 PM	
Unknown	blank			0.05051	mg/L	67	8/28/2025 6:00:40 PM	
Unknown	blank			0.05773	mg/L	67	8/28/2025 6:09:58 PM	
Unknown	2ppm check DOC			2.003	mg/L	68	8/28/2025 6:20:55 PM	
Unknown	20ppm DOC ICV			20.26	mg/L	66	8/28/2025 6:33:14 PM	
Unknown	T25WEEK14HYPO			8.155	mg/L	70	8/28/2025 6:44:32 PM	
Unknown	T25WEEK13META			8.215	mg/L	71	8/28/2025 6:56:00 PM	
Unknown	R25WEEK13HYPO			4.534	mg/L	72	8/28/2025 7:09:19 PM	
Unknown	R25WEEK14PML			4.745	mg/L	73	8/28/2025 7:22:34 PM	
Unknown	L25WEEK14HYPO			3.411	mg/L	74	8/28/2025 7:35:43 PM	
Unknown	L25WEEK14META			3.913	mg/L	75	8/28/2025 7:46:36 PM	
Unknown	Blank 8/4/2025			0.5246	mg/L	76	8/28/2025 7:59:15 PM	
Unknown	T25WEEK13PML			8.612	mg/L	77	8/28/2025 8:10:20 PM	
Unknown	L25WEEK14PML			4.198	mg/L	78	8/28/2025 8:21:16 PM	
Unknown	T25WEEK14META			7.823	mg/L	79	8/28/2025 8:32:36 PM	
Unknown	L25WEEK14PML dup			4.150	mg/L	78	8/28/2025 8:46:06 PM	
Unknown	blank			0.02036	mg/L	67	8/28/2025 8:56:57 PM	
Unknown	blank			0.09461	mg/L	69	8/28/2025 9:09:44 PM	
Unknown	2ppm check DOC			2.132	mg/L	68	8/28/2025 9:23:55 PM	
Unknown	20ppm DOC ICV			20.34	mg/L	66	8/28/2025 9:36:18 PM	
Unknown	blank			0.05465	mg/L	69	8/28/2025 9:49:03 PM	
Unknown	blank			0.1453	mg/L	69	8/28/2025 9:58:27 PM	
