Lake,Year,DOY,Manual_Chl
T,2024,228,27.53009936
T,2024,229,28.223567
T,2024,230,29.6158132
T,2024,231,25.549211
T,2024,232,38.21864276
T,2024,233,41.17360719
T,2024,234,36.0716356
T,2024,235,23.91553533
T,2024,236,31.61690048
T,2024,237,19.87052509
T,2024,238,24.48258551
T,2024,239,25.04388945
