Lake,Date,Rep,Filter_volume,Extract_time,Analysis_time,Fb,Fa,Methanol_blank,solid_standard,solid_standard_2
Tuesday,6/4/2025,B,200,8:45,8:45,208634,122920,445.04,234863,85714
Peter,6/5/2025,A,200,9:45,9:54,38118.51,22206.5,381.23,229982,15912.01
Peter,6/5/2025,B,200,9:45,9:54,34560.52,20458.84,381.23,229982,14101.68
Paul,6/5/2025,A,200,9:45,9:54,45828.23,25977.38,381.23,229982,19850.85
Paul,6/5/2025,B,200,9:45,9:54,36819.88,21730.25,381.23,229982,15089.63
Tuesday,6/5/2025,A,200,9:45,9:54,131652,78934.63,381.23,229982,52717.37
Tuesday,6/5/2025,B,200,9:45,9:54,237295,136443,381.23,229982,100852
Peter,6/6/2025,A,200,9:45,9:54,52758.5,32173.14,381.23,229982,20585.36
Peter,6/6/2025,B,200,9:45,9:54,57587.32,33823.41,381.23,229982,23763.91
Paul,6/6/2025,A,200,9:45,9:54,46108.95,26804.91,381.23,229982,19304.04
Paul,6/6/2025,B,200,9:45,9:54,50722.07,29038.58,381.23,229982,21683.49
Tuesday,6/6/2025,A,200,9:45,9:54,175633,105253,381.23,229982,70380
Tuesday,6/6/2025,B,200,9:45,9:54,356798,205508,381.23,229982,151290
Peter,6/7/2025,A,200,9:45,9:54,41959.36,25444.1,381.23,229982,16515.26
Peter,6/7/2025,B,200,9:45,9:54,39938.94,24095.3,381.23,229982,15843.64
Paul,6/7/2025,A,200,9:45,9:54,40878.21,24430.4,381.23,229982,16447.81
Paul,6/7/2025,B,200,9:45,9:54,40432.64,24007.39,381.23,229982,16425.25
Tuesday,6/7/2025,A,200,9:45,9:54,317414,177714,381.23,229982,139700
Tuesday,6/7/2025,B,200,9:45,9:54,298295,169134,381.23,229982,129161
Peter,6/8/2025,A,200,8:43,8:53,38358.49,21495.8,437.95,245352,
Peter,6/8/2025,B,200,8:43,8:53,37592.71,21608.38,437.95,245352,
Paul,6/8/2025,A,200,8:43,8:53,41242.19,23163.31,437.95,245352,
Paul,6/8/2025,B,200,8:43,8:53,38855.7,22192.76,437.95,245352,
Tuesday,6/8/2025,A,200,8:43,8:53,338955,190322,437.95,245352,
Tuesday,6/8/2025,B,200,8:43,8:53,342671,193153,437.95,245352,
Peter,6/9/2025,A,200,8:43,8:53,65804.39,37558.19,437.95,245352,
Peter,6/9/2025,B,200,8:43,8:53,58344.54,34769.13,437.95,245352,
Paul,6/9/2025,A,200,8:43,8:53,59800.5,35877.7,437.95,245352,
Paul,6/9/2025,B,200,8:43,8:53,52624.11,31525.8,437.95,245352,
Tuesday,6/9/2025,A,200,8:43,8:53,712270,394092,437.95,245352,
Tuesday,6/9/2025,B,200,8:43,8:53,589118,334221,437.95,245352,
Peter,6/10/2025,A,200,8:45,8:45,71551.23,41723.18,444.71,23766,
Peter,6/10/2025,B,200,8:45,8:45,64045.56,37422.28,444.71,23766,
Paul,6/10/2025,A,200,8:45,8:45,58141.04,32261.51,444.71,23766,
Paul,6/10/2025,B,200,8:45,8:45,62648.17,36496.73,444.71,23766,
Tuesday,6/10/2025,A,200,8:45,8:45,479375,276096,444.71,23766,
Tuesday,6/10/2025,B,200,8:45,8:45,483139,279103,444.71,23766,
Peter,6/11/2025,A,200,8:45,8:45,68855.68,42138.51,425.66,234984.67,
Peter,6/11/2025,B,200,8:45,8:45,61010.17,36853.27,425.66,234984.67,
Paul,6/11/2025,A,200,8:45,8:45,45951.53,27457.44,425.66,234984.67,
Paul,6/11/2025,B,200,8:45,8:45,48739.32,28762.94,425.66,234984.67,
Tuesday,6/11/2025,A,200,8:45,8:45,310614,185777,425.66,234984.67,
Tuesday,6/11/2025,B,200,8:45,8:45,306526,183733,425.66,234984.67,
Peter,6/12/2025,A,200,8:45,8:45,54740.88,33745.96,396.15,235622.59,
Peter,6/12/2025,B,200,8:45,8:45,54476.65,34451.1,396.15,235622.59,
Paul,6/12/2025,A,200,8:45,8:45,70011.12,42276.56,396.15,235622.59,
Paul,6/12/2025,B,200,8:45,8:45,70431.81,43470.75,396.15,235622.59,
Tuesday,6/12/2025,A,200,8:45,8:45,477598,279916,396.15,235622.59,
Tuesday,6/12/2025,B,200,8:45,8:45,453163,268840,400.5,236117.81,
Peter,6/13/2025,A,200,8:45,8:50,64031.64,38406.16,283.23,237782,
Peter,6/13/2025,B,200,8:45,8:50,59839.57,35307.73,283.23,237782,
Paul,6/13/2025,A,200,8:45,8:50,43545.51,25384.33,283.23,237782,
Paul,6/13/2025,B,200,8:45,8:50,50359.83,30556.07,283.23,237782,
Tuesday,6/13/2025,A,200,8:45,8:50,517691,298933,283.23,237782,
Tuesday,6/13/2025,B,200,8:45,8:50,524193,300729,283.23,237782,
Peter,6/14/2025,A,200,8:45,8:50,81799.29,49334.02,283.23,237782,
Peter,6/14/2025,B,200,8:45,8:50,90345.46,53959.62,283.23,237782,
Paul,6/14/2025,A,200,8:45,8:50,60041.31,34443.37,283.23,237782,
Paul,6/14/2025,B,200,8:45,8:50,64026.52,38827.15,283.23,237782,
Tuesday,6/14/2025,A,200,8:45,8:50,538616,305643,283.23,237782,
Tuesday,6/14/2025,B,200,8:45,8:50,563717,325095,283.23,237782,
Peter,6/15/2025,A,200,9:45,9:45,75081.45,45021.45,452.58,231936,
Peter,6/15/2025,B,200,9:45,9:45,82218.28,49042.41,452.58,231936,
Paul,6/15/2025,A,200,9:45,9:45,67756.74,39623.39,452.58,231936,
Paul,6/15/2025,B,200,9:45,9:45,63767.38,36691.07,452.58,231936,
Tuesday,6/15/2025,A,200,9:45,9:45,1019833,557143,452.58,231936,
Tuesday,6/15/2025,B,200,9:45,9:45,884263,476699,452.58,231936,
Peter,6/16/2025,A,200,9:45,9:45,57192.91,33734.57,452.58,231936,
Peter,6/16/2025,B,200,9:45,9:45,55904.8,32781.21,452.58,231936,
Paul,6/16/2025,A,200,9:45,9:45,88561.57,50674.21,452.58,231936,
Paul,6/16/2025,B,200,9:45,9:45,80338.19,45568.17,452.58,231936,
Tuesday,6/16/2025,A,200,9:45,9:45,1109240,599565,452.58,231936,
Tuesday,6/16/2025,B,200,9:45,9:45,1126998,602189,452.58,231936,
Peter,6/17/2025,A,200,11:10,11:10,72083.52,40646.35,433.39,233085.5,
Peter,6/17/2025,B,200,11:10,11:10,63595.57,35984.28,433.39,233085.5,
Paul,6/17/2025,A,200,11:10,11:10,46850.74,26765.24,433.39,233085.5,
Paul,6/17/2025,B,200,11:10,11:10,52422.17,30857.69,433.39,233085.5,
Tuesday,6/17/2025,A,200,11:10,11:10,612650.06,337216.19,433.39,233085.5,
Tuesday,6/17/2025,B,200,11:10,11:10,527243.19,292682.28,433.39,233085.5,
Peter,6/18/2025,A,200,11:10,11:10,57759.56,33277.99,433.39,233085.5,
Peter,6/18/2025,B,200,11:10,11:10,61769.61,38028.68,433.39,233085.5,
Paul,6/18/2025,A,200,11:10,11:10,49580.93,28283.41,433.39,233085.5,
Paul,6/18/2025,B,200,11:10,11:10,51515.22,29464.57,433.39,233085.5,
Tuesday,6/18/2025,A,200,11:10,11:10,1263927.25,665356.81,433.39,233085.5,
Tuesday,6/18/2025,B,200,11:10,11:10,1245970.62,662077.69,457.38,236577.7,
Peter,6/19/2025,A,200,8:50,8:50,49807.96,28088.31,410.52,237080,
Peter,6/19/2025,B,200,8:50,8:50,51923.05,30151.84,410.52,237080,
Paul,6/19/2025,A,200,8:50,8:50,51270.59,29626.99,410.52,237080,
Paul,6/19/2025,B,200,8:50,8:50,46989.55,26974.58,410.52,237080,
Tuesday,6/19/2025,A,200,8:50,8:50,625810,340509,410.52,237080,
Tuesday,6/19/2025,B,200,8:50,8:50,641199,351005,410.52,237080,
Peter,6/20/2025,A,200,8:50,8:50,45122.56,26034.29,410.52,237080,
Peter,6/20/2025,B,200,8:50,8:50,44838.18,25430.21,410.52,237080,
Paul,6/20/2025,A,200,8:50,8:50,44349.33,25801.32,410.52,237080,
Paul,6/20/2025,B,200,8:50,8:50,40198.38,22913.71,410.52,237080,
Tuesday,6/20/2025,A,200,8:50,8:50,744973,401518,410.52,237080,
Tuesday,6/20/2025,B,200,8:50,8:50,772340,420184,410.52,237080,
Peter,6/21/2025,A,200,9:30,9:30,44652.63,26368.69,490.18,236809,
Peter,6/21/2025,B,200,9:30,9:30,46347.32,27228.55,490.18,236809,
Paul,6/21/2025,A,200,9:30,9:30,70516.41,41361.6,490.18,236809,
Paul,6/21/2025,B,200,9:30,9:30,81808.63,48260.83,490.18,236809,
Tuesday,6/21/2025,A,200,9:30,9:30,724541,404784,490.18,236809,
Tuesday,6/21/2025,B,200,9:30,9:30,727330,401430,490.18,236809,
Peter,6/22/2025,A,200,9:30,9:30,69638.55,41410.11,490.18,236809,
Peter,6/22/2025,B,200,9:30,9:30,63055.89,37349.3,490.18,236809,
Paul,6/22/2025,A,200,9:30,9:30,71457.48,42095.65,490.18,236809,
Paul,6/22/2025,B,200,9:30,9:30,44129.92,26116.49,490.18,236809,
Tuesday,6/22/2025,A,200,9:30,9:30,776460,422167,490.18,236809,
Tuesday,6/22/2025,B,200,9:30,9:30,775712,423017,490.18,236809,
Peter,6/23/2025,A,200,10:10,10:15,57278.23,32141.5,383.79,232497,
Peter,6/23/2025,B,200,10:10,10:15,53947.49,30675.88,383.79,232497,
Paul,6/23/2025,A,200,10:10,10:15,46016.49,27349.13,383.79,232497,
Paul,6/23/2025,B,200,10:10,10:15,46320.88,27634.79,383.79,232497,
Tuesday,6/23/2025,A,200,10:10,10:15,848471,443652,383.79,232497,
Tuesday,6/23/2025,B,200,10:10,10:15,866404,465926,383.79,232497,
Peter,6/24/2025,A,200,10:10,10:25,134732,74595.03,383.79,232497,
Peter,6/24/2025,B,200,10:10,10:25,123790.77,69592.42,383.79,232497,
Paul,6/24/2025,A,200,10:10,10:25,47928.23,29057.66,383.79,232497,
Paul,6/24/2025,B,200,10:10,10:25,45175.12,27269.71,383.79,232497,
Tuesday,6/24/2025,A,200,10:10,10:25,688628,369929,383.79,232497,
Tuesday,6/24/2025,B,200,10:10,10:25,696413,387602,383.79,232497,
Peter,6/25/2025,A,200,8:45,8:50,74972,42533.99,465,239531,
Peter,6/25/2025,B,200,8:45,8:50,57492.41,32623.23,465,239531,
Paul,6/25/2025,A,200,8:45,8:50,37194.01,22871.04,465,239531,
Paul,6/25/2025,B,200,8:45,8:50,36738.18,22252.88,465,239531,
Tuesday,6/25/2025,A,200,8:45,8:50,738165,396168,465,239531,
Tuesday,6/25/2025,B,200,8:45,8:50,691125,374182,465,239531,
Peter,6/26/2025,A,200,9:45,9:53,92175.55,53437.06,582,235691,
Peter,6/26/2025,B,200,9:45,9:53,90177.35,51674.95,582,235691,
Paul,6/26/2025,A,200,9:45,9:53,63993.82,38862.09,582,235691,
Paul,6/26/2025,B,200,9:45,9:53,52956.02,32136.23,582,235691,
Tuesday,6/26/2025,A,200,9:45,9:53,642582,352071,582,235691,
Tuesday,6/26/2025,B,200,9:45,9:53,665004,365310,582,235691,
Peter,6/27/2025,A,200,9:45,9:53,91520.2,53455.24,582,235691,
Peter,6/27/2025,B,200,9:45,9:53,94288.78,55417.89,582,235691,
Paul,6/27/2025,A,200,9:45,9:53,63558.88,39188.45,582,235691,
Paul,6/27/2025,B,200,9:45,9:53,60874.8,37287.04,582,235691,
Tuesday,6/27/2025,A,200,9:45,9:53,795375,444048,582,235691,
Tuesday,6/27/2025,B,200,9:45,9:53,811242,453951,582,235691,
Peter,6/28/2025,A,200,9:45,9:53,58676.22,35471.18,582,235691,
Peter,6/28/2025,B,200,9:45,9:53,63700.02,38330.2,582,235691,
Paul,6/28/2025,A,200,9:45,9:53,51483.99,32257.48,582,235691,
Paul,6/28/2025,B,200,9:45,9:53,47922.59,29803.01,582,235691,
Tuesday,6/28/2025,A,200,9:45,9:53,606871,339314,582,235691,
Tuesday,6/28/2025,B,200,9:45,9:53,598040,337173,582,235691,
Peter,6/29/2025,A,200,9:24,9:40,67306.41,39438.85,406.45,235768.34,
Peter,6/29/2025,B,200,9:24,9:40,71090.8,41315.86,406.45,235768.34,
Paul,6/29/2025,A,200,9:24,9:40,66713.84,37834.79,406.45,235768.34,
Paul,6/29/2025,B,200,9:24,9:40,55505.93,32465.44,406.45,235768.34,
Tuesday,6/29/2025,A,200,9:24,9:40,496997.91,271443.44,406.45,235768.34,
Tuesday,6/29/2025,B,200,9:24,9:40,476232.94,259680.58,406.45,235768.34,
Peter,6/30/2025,A,200,9:24,9:40,81340.65,46623.5,406.45,235768.34,
Peter,6/30/2025,B,200,9:24,9:40,85489.23,48246.27,406.45,235768.34,
Paul,6/30/2025,A,200,9:24,9:40,41630.14,24916.96,406.45,235768.34,
Paul,6/30/2025,B,200,9:24,9:40,48171.48,28663.64,406.45,235768.34,
Tuesday,6/30/2025,A,200,9:24,9:40,539589.5,296033.5,406.45,235768.34,
Tuesday,6/30/2025,B,200,9:24,9:40,563339.19,307892.53,402.07,235814.05,
Peter,7/1/2025,A,200,8:47,8:47,64438.84,36252.04,452.28,238297,
Peter,7/1/2025,B,200,8:47,8:47,71383.87,40665.09,452.28,238297,
Paul,7/1/2025,A,200,8:47,8:47,52868.62,30823.41,452.28,238297,
Paul,7/1/2025,B,200,8:47,8:47,57429.32,33185.36,452.28,238297,
Tuesday,7/1/2025,A,200,8:47,8:47,463559,250527,452.28,238297,
Tuesday,7/1/2025,B,200,8:47,8:47,456253,242856,452.28,238297,
Peter,7/2/2025,A,200,8:47,8:47,66535.01,37108,452.28,238297,
Peter,7/2/2025,B,200,8:47,8:47,61767.85,35262.02,452.28,238297,
Paul,7/2/2025,A,200,8:47,8:47,49371.91,28703.97,452.28,238297,
Paul,7/2/2025,B,200,8:47,8:47,47162.02,27675.37,452.28,238297,
Tuesday,7/2/2025,A,200,8:47,8:47,400877,222806,452.28,238297,
Tuesday,7/2/2025,B,200,8:47,8:47,419280,236009,452.28,238297,
Peter,7/3/2025,A,200,8:47,8:47,50047.07,28834.03,452.28,238297,
Peter,7/3/2025,B,200,8:47,8:47,55303.46,31923.71,452.28,238297,
Paul,7/3/2025,A,200,8:47,8:47,50618.73,29418.91,452.28,238297,
Paul,7/3/2025,B,200,8:47,8:47,50944.65,30419.66,452.28,238297,
Tuesday,7/3/2025,A,200,8:47,8:47,421067,233592,452.28,238297,
Tuesday,7/3/2025,B,200,8:47,8:47,428759,248128,452.28,238297,
Peter,7/4/2025,A,200,9:47,9:47,69541.05,39940.41,383.99,231955,
Peter,7/4/2025,B,200,9:47,9:47,87203.13,51301.32,383.99,231955,
Paul,7/4/2025,A,200,9:47,9:47,45832.68,26505.63,383.99,231955,
Paul,7/4/2025,B,200,9:47,9:47,48159.66,28858.56,383.99,231955,
Tuesday,7/4/2025,A,200,9:47,9:47,481751,277549,383.99,231955,
Tuesday,7/4/2025,B,200,9:47,9:47,486438,282581,383.99,231955,
Peter,7/5/2025,A,200,9:47,9:47,65037.69,38499.94,383.99,231955,
Peter,7/5/2025,B,200,9:47,9:47,69494.62,41134.13,383.99,231955,
Paul,7/5/2025,A,200,9:47,9:47,53144.94,32012.43,383.99,231955,
Paul,7/5/2025,B,200,9:47,9:47,48144.57,29502.52,383.99,231955,
Tuesday,7/5/2025,A,200,9:47,9:47,531588,307588,383.99,231955,
Tuesday,7/5/2025,B,200,9:47,9:47,519865,298240,383.99,231955,
Peter,7/6/2025,A,200,9:15,9:15,83041.77,48676.59,490.78,239048,
Peter,7/6/2025,B,200,9:15,9:15,91837.2,53311.5,490.78,239048,
Paul,7/6/2025,A,200,9:15,9:15,74104.95,43899.02,490.78,239048,
Paul,7/6/2025,B,200,9:15,9:15,76184.44,45122.91,490.78,239048,
Tuesday,7/6/2025,A,200,9:15,9:15,724382,410907,490.78,239048,
Tuesday,7/6/2025,B,200,9:15,9:15,725261,421160,490.78,239048,
Peter,7/7/2025,A,200,9:15,9:15,72179.53,42533.91,490.78,239048,
Peter,7/7/2025,B,200,9:15,9:15,72327.83,44240.39,490.78,239048,
Paul,7/7/2025,A,200,9:15,9:15,56061.66,34007.85,490.78,239048,
Paul,7/7/2025,B,200,9:15,9:15,55734.81,34314.43,490.78,239048,
Tuesday,7/7/2025,A,200,9:15,9:15,555232,333561,490.78,239048,
Tuesday,7/7/2025,B,200,9:15,9:15,506713,306491,490.78,239048,
Peter,7/8/2025,A,200,9:45,9:45,59799.96,35045,420.91,234486,
Peter,7/8/2025,B,200,9:45,9:45,61127.28,36250,420.91,234486,
Paul,7/8/2025,A,200,9:45,9:45,56824.08,33593,420.91,234486,
Paul,7/8/2025,B,200,9:45,9:45,54899.08,32639,420.91,234486,
Tuesday,7/8/2025,A,200,9:45,9:45,425201,256761,420.91,234486,
Tuesday,7/8/2025,B,200,9:45,9:45,422432,250280,420.91,234486,
Peter,7/9/2025,A,200,9:45,9:45,68552.92,40331.04,420.91,234486,
Peter,7/9/2025,B,200,9:45,9:45,61774.67,36411.22,420.91,234486,
Paul,7/9/2025,A,200,9:45,9:45,80071.8,48826.42,420.91,234486,
Paul,7/9/2025,B,200,9:45,9:45,57860.47,34981.27,420.91,234486,
Tuesday,7/9/2025,A,200,9:45,9:45,382457,242193,420.91,234486,
Tuesday,7/9/2025,B,200,9:45,9:45,391683,245281,420.91,234486,
Peter,7/10/2025,A,200,9:45,9:45,79655.12,48236.54,420.91,234486,
Peter,7/10/2025,B,200,9:45,9:45,84321.62,49352.19,420.91,234486,
Paul,7/10/2025,A,200,9:45,9:45,80770.84,49310.68,420.91,234486,
Paul,7/10/2025,B,200,9:45,9:45,64621.65,39052.35,420.91,234486,
Tuesday,7/10/2025,A,200,9:45,9:45,249010,160678.69,420.91,234486,
Tuesday,7/10/2025,B,200,9:45,9:45,264020,169011.95,420.91,234486,
Peter,7/11/2025,A,200,10:58,10:58,53035.25,31670.01,440.57,232571,
Peter,7/11/2025,B,200,10:58,10:58,52902.02,31288.95,440.57,232571,
Paul,7/11/2025,A,200,10:58,10:58,49626.3,29618.99,440.57,232571,
Paul,7/11/2025,B,200,10:58,10:58,48108.48,28754.14,440.57,232571,
Tuesday,7/11/2025,A,200,10:58,10:58,229754,141889.23,440.57,232571,
Tuesday,7/11/2025,B,200,10:58,10:58,253060,158467.94,440.57,232571,
Peter,7/12/2025,A,200,10:58,10:58,74614.38,44121.46,440.57,232571,
Peter,7/12/2025,B,200,10:58,10:58,66680.89,38961.78,440.57,232571,
Paul,7/12/2025,A,200,10:58,10:58,56730.81,34062.84,440.57,232571,
Paul,7/12/2025,B,200,10:58,10:58,55721.91,33331.28,440.57,232571,
Tuesday,7/12/2025,A,200,10:58,10:58,286449,168305.39,440.57,232571,
Tuesday,7/12/2025,B,200,10:58,10:58,269055,160654.58,440.57,232571,
Peter,7/13/2025,A,200,8:45,8:50,56438.99,34387.94,442.49,233681.48,
Peter,7/13/2025,B,200,8:45,8:50,56893.27,34020.81,442.49,233681.48,
Paul,7/13/2025,A,200,8:45,8:50,51693.87,31783.63,442.49,233681.48,
Paul,7/13/2025,B,200,8:45,8:50,53694.43,32853.71,442.49,233681.48,
Tuesday,7/13/2025,A,200,8:45,8:50,270605,174259,442.49,233681.48,
Tuesday,7/13/2025,B,200,8:45,8:50,265599,169000,442.49,233681.48,
Peter,7/14/2025,A,200,8:45,8:50,66485.74,40163.6,442.49,233681,
Peter,7/14/2025,B,200,8:45,8:50,56919.02,34193.82,442.49,233681,
Paul,7/14/2025,A,200,8:45,8:50,46417.38,28429.33,442.49,233681,
Paul,7/14/2025,B,200,8:45,8:50,48307.55,29081.5,442.49,233681,
Tuesday,7/14/2025,A,200,8:45,8:50,446410,242670,442.49,233681,
Tuesday,7/14/2025,B,200,8:45,8:50,437844,253003,442.49,233681,
Peter,7/15/2025,A,200,9:45,9:50,57334.4,33508.66,392.48,233829,
Peter,7/15/2025,B,200,9:45,9:50,57826.05,32846.58,392.48,233829,
Paul,7/15/2025,A,200,9:45,9:50,59017.27,34267.7,392.48,233829,
Paul,7/15/2025,B,200,9:45,9:50,59929.38,34534.15,392.48,233829,
Tuesday,7/15/2025,A,200,9:45,9:50,294273,170212,392.48,233829,
Tuesday,7/15/2025,B,200,9:45,9:50,286797,162907,392.48,233829,
Peter,7/16/2025,A,200,9:45,9:50,97810.22,56058.84,392.48,233829,
Peter,7/16/2025,B,200,9:45,9:50,94768.54,55104.26,392.48,233829,
Paul,7/16/2025,A,200,9:45,9:50,68276.04,39596.76,392.48,233829,
Paul,7/16/2025,B,200,9:45,9:50,64479.47,37899.46,392.48,233829,
Tuesday,7/16/2025,A,200,9:45,9:50,405726,236094,392.48,233829,
Tuesday,7/16/2025,B,200,9:45,9:50,414905,238945,392.48,233829,
Peter,7/17/2025,A,200,10:45,10:45,68614.43,40423.21,406.16,233085,
Peter,7/17/2025,B,200,10:45,10:45,73430.09,43007.37,406.16,233085,
Paul,7/17/2025,A,200,10:45,10:45,62425.7,38399.91,406.16,233085,
Paul,7/17/2025,B,200,10:45,10:45,77406.48,45329.59,406.16,233085,
Tuesday,7/17/2025,A,200,10:45,10:45,351963,213528,406.16,233085,
Tuesday,7/17/2025,B,200,10:45,10:45,372334,227169,406.16,233085,
Peter,7/18/2025,A,200,10:45,10:45,98941.54,58802.83,406.16,233085,
Peter,7/18/2025,B,200,10:45,10:45,90913.09,54920.89,406.16,233085,
Paul,7/18/2025,A,200,10:45,10:45,63423.5,37825.93,406.16,233085,
Paul,7/18/2025,B,200,10:45,10:45,63840.36,39041.42,406.16,233085,
Tuesday,7/18/2025,A,200,10:45,10:45,365078,214272,406.16,233085,
Tuesday,7/18/2025,B,200,10:45,10:45,354240,209666,406.16,233085,
Peter,7/19/2025,A,200,10:45,10:45,87604.98,53446.05,406.16,233085,
Peter,7/19/2025,B,200,10:45,10:45,82409.91,49346.05,406.16,233085,
Paul,7/19/2025,A,200,10:45,10:45,56120.44,34163.81,406.16,233085,
Paul,7/19/2025,B,200,10:45,10:45,53629.24,33004.7,406.16,233085,
Tuesday,7/19/2025,A,200,10:45,10:45,361086,214932,406.16,233085,
Tuesday,7/19/2025,B,200,10:45,10:45,352666,212426,406.16,233085,
Peter,7/20/2025,A,200,8:35,8:35,63026.3,38991.51,451.91,232960,
Peter,7/20/2025,B,200,8:35,8:35,58732.07,36079.86,451.91,232960,
Paul,7/20/2025,A,200,8:35,8:35,59522.33,36111.66,451.91,232960,
Paul,7/20/2025,B,200,8:35,8:35,64851.88,40579.26,451.91,232960,
Tuesday,7/20/2025,A,200,8:35,8:35,330141,197760,451.91,232960,
