Lake,Date,DoY,ZoopBiomass_g_m2,ZoopBiomass_g_m3
R,6/3/2015,154,0.467561855,0.038963488
R,6/4/2015,155,0.595876107,0.049656342
R,6/5/2015,156,0.378010674,0.031500889
R,6/6/2015,157,0.104971527,0.008747627
R,6/7/2015,158,0.313782812,0.026148568
R,6/8/2015,159,0.195795948,0.016316329
R,6/9/2015,160,0.241632571,0.020136048
R,6/10/2015,161,0.383952458,0.031996038
R,6/11/2015,162,0.305011606,0.025417634
R,6/12/2015,163,0.260306751,0.021692229
R,6/13/2015,164,0.389328359,0.03244403
R,6/14/2015,165,0.276717394,0.023059783
R,6/15/2015,166,0.312368102,0.026030675
R,6/16/2015,167,0.169199388,0.014099949
R,6/17/2015,168,0.106386238,0.00886552
R,6/18/2015,169,0.195513006,0.01629275
R,6/19/2015,170,0.296523343,0.024710279
R,6/20/2015,171,0.233993134,0.019499428
R,6/21/2015,172,0.172594694,0.014382891
R,6/22/2015,173,0.467986268,0.038998856
R,6/23/2015,174,0.331608166,0.027634014
R,6/24/2015,175,0.236256671,0.019688056
R,6/25/2015,176,0.297938053,0.024828171
R,6/26/2015,177,0.248989067,0.020749089
R,6/27/2015,178,0.266531478,0.022210957
R,6/28/2015,179,0.156749935,0.013062495
R,6/29/2015,180,0.359902378,0.029991865
R,6/30/2015,181,0.319724597,0.026643716
R,7/1/2015,182,0.326515208,0.027209601
R,7/2/2015,183,0.259174983,0.021597915
R,7/3/2015,184,0.24814024,0.020678353
R,7/4/2015,185,0.343774677,0.02864789
R,7/5/2015,186,0.224231631,0.018685969
R,7/6/2015,187,0.131285144,0.010940429
R,7/7/2015,188,0.566591597,0.047215966
R,7/8/2015,189,0.286903311,0.023908609
R,7/9/2015,190,0.263136173,0.021928014
R,7/10/2015,191,0.305860433,0.025488369
R,7/11/2015,192,0.282942121,0.02357851
R,7/12/2015,193,0.254930851,0.021244238
R,7/13/2015,194,0.131426615,0.010952218
R,7/14/2015,195,0.199332724,0.01661106
R,7/15/2015,196,0.314490168,0.026207514
R,7/16/2015,197,0.406446357,0.03387053
R,7/17/2015,198,0.366551518,0.03054596
R,7/18/2015,199,0.169765273,0.014147106
R,7/19/2015,200,0.181648842,0.015137403
R,7/20/2015,201,0.157032877,0.013086073
R,7/21/2015,202,0.266248536,0.022187378
R,7/22/2015,203,0.191551816,0.015962651
R,7/23/2015,204,0.15745729,0.013121441
R,7/24/2015,205,0.25606262,0.021338552
R,7/25/2015,206,0.13340721,0.011117268
R,7/26/2015,207,0.200747435,0.016728953
R,7/27/2015,208,0.15873053,0.013227544
R,7/28/2015,209,0.170189686,0.014182474
R,7/29/2015,210,0.300908946,0.025075745
R,7/30/2015,211,0.431203792,0.035933649
R,7/31/2015,212,0.20004008,0.016670007
R,8/1/2015,213,0.360892675,0.03007439
R,8/2/2015,214,0.219280144,0.018273345
R,8/3/2015,215,0.24941348,0.020784457
R,8/4/2015,216,0.177829123,0.014819094
R,8/5/2015,217,0.196220361,0.016351697
R,8/6/2015,218,0.367966228,0.030663852
R,8/7/2015,219,0.189854163,0.01582118
R,8/8/2015,220,0.209094227,0.017424519
R,8/9/2015,221,0.156184051,0.013015338
R,8/10/2015,222,0.163257604,0.0136048
R,8/11/2015,223,0.440823825,0.036735319
R,8/12/2015,224,0.319017241,0.02658477
R,8/13/2015,225,0.447897378,0.037324781
R,8/14/2015,226,0.20541598,0.017117998
R,8/15/2015,227,0.45893212,0.038244343
R,8/16/2015,228,0.342359966,0.028529997
R,8/17/2015,229,0.212206591,0.017683883
R,8/18/2015,230,0.230880771,0.019240064
R,8/19/2015,231,0.477040416,0.039753368
R,8/20/2015,232,0.31477311,0.026231092
R,8/21/2015,233,0.243613166,0.020301097
R,8/22/2015,234,0.440540882,0.03671174
R,8/23/2015,235,0.386781879,0.032231823
R,8/24/2015,236,0.627282682,0.052273557
R,8/25/2015,237,1.497612647,0.124801054
R,8/26/2015,238,0.438277346,0.036523112
R,8/27/2015,239,0.403051051,0.033587588
R,8/28/2015,240,0.345896743,0.028824729
R,8/29/2015,241,0.287469195,0.023955766
R,8/30/2015,242,0.481001606,0.040083467
R,8/31/2015,243,0.330334926,0.027527911
R,9/1/2015,244,0.289591261,0.024132605
R,9/2/2015,245,0.335003471,0.027916956
R,9/3/2015,246,0.369946823,0.030828902
T,5/25/2015,145,0.64298597,0.064298597
T,5/26/2015,146,0.080355562,0.008035556
T,5/27/2015,147,0.088702355,0.008870235
T,5/28/2015,148,0.231022242,0.023102224
T,5/29/2015,149,0.212348062,0.021234806
T,5/30/2015,150,0.110347427,0.011034743
T,6/1/2015,152,0.047534276,0.004753428
T,6/2/2015,153,0.033953055,0.003395305
T,6/3/2015,154,0.054324887,0.005432489
T,6/4/2015,155,0.296806285,0.029680628
T,6/5/2015,156,0.050788111,0.005078811
T,6/6/2015,157,0.325949323,0.032594932
T,6/7/2015,158,0.712023848,0.071202385
T,6/8/2015,159,0.557254507,0.055725451
T,6/9/2015,160,0.153920514,0.015392051
T,6/10/2015,161,0.033811583,0.003381158
T,6/11/2015,162,0.761255777,0.076125578
T,6/12/2015,163,0.380840095,0.038084009
T,6/13/2015,164,0.619501774,0.061950177
T,6/14/2015,165,0.243754637,0.024375464
T,6/15/2015,166,0.857314627,0.085731463
T,6/16/2015,167,0.369805352,0.036980535
T,6/17/2015,168,0.463317723,0.046331772
T,6/18/2015,169,0.284922716,0.028492272
T,6/19/2015,170,0.197635072,0.019763507
T,6/20/2015,171,0.788276749,0.078827675
T,6/21/2015,172,0.584416951,0.058441695
T,6/22/2015,173,1.119319031,0.111931903
T,6/23/2015,174,0.176555884,0.017655588
T,6/24/2015,175,0.153637572,0.015363757
T,6/25/2015,176,0.641429788,0.064142979
T,6/26/2015,177,0.098180916,0.009818092
T,6/27/2015,178,0.114450088,0.011445009
T,6/28/2015,179,0.161984364,0.016198436
T,6/29/2015,180,0.164955257,0.016495526
T,6/30/2015,181,0.320573423,0.032057342
T,7/1/2015,182,0.124636004,0.0124636
T,7/2/2015,183,0.122655409,0.012265541
T,7/3/2015,184,0.162267306,0.016226731
T,7/4/2015,185,0.295674516,0.029567452
T,7/5/2015,186,0.444360601,0.04443606
T,7/6/2015,187,0.367400344,0.036740034
T,7/7/2015,188,0.178395007,0.017839501
T,7/8/2015,189,0.153071687,0.015307169
T,7/9/2015,190,0.144159011,0.014415901
T,7/10/2015,191,0.188439453,0.018843945
T,7/11/2015,192,0.083609397,0.00836094
T,7/12/2015,193,0.178395007,0.017839501
T,7/13/2015,194,0.249837893,0.024983789
T,7/14/2015,195,0.16806762,0.016806762
T,7/15/2015,196,0.098039445,0.009803944
T,7/16/2015,197,0.123079823,0.012307982
T,7/17/2015,198,0.154627869,0.015462787
T,7/18/2015,199,0.22677811,0.022677811
T,7/19/2015,200,0.107093593,0.010709359
T,7/20/2015,201,0.088702355,0.008870235
T,7/21/2015,202,0.111337725,0.011133772
T,7/22/2015,203,0.154203456,0.015420346
T,7/23/2015,204,0.104264172,0.010426417
T,7/24/2015,205,0.149251969,0.014925197
T,7/25/2015,206,0.088985297,0.00889853
T,7/26/2015,207,0.158872001,0.0158872
T,7/27/2015,208,0.16537967,0.016537967
T,7/28/2015,209,0.162550249,0.016255025
T,7/29/2015,210,0.244320522,0.024432052
T,7/30/2015,211,0.207962459,0.020796246
T,7/31/2015,212,0.176980297,0.01769803
T,8/1/2015,213,0.241349629,0.024134963
T,8/2/2015,214,0.275868568,0.027586857
T,8/3/2015,215,0.452282981,0.045228298
T,8/4/2015,216,0.338115835,0.033811583
T,8/5/2015,217,0.424413182,0.042441318
T,8/6/2015,218,0.674392546,0.067439255
T,8/7/2015,219,0.347735867,0.034773587
T,8/8/2015,220,0.347311454,0.034731145
T,8/9/2015,221,0.430354966,0.043035497
T,8/10/2015,222,0.432618503,0.04326185
T,8/11/2015,223,0.760124008,0.076012401
T,8/12/2015,224,0.394704259,0.039470426
T,8/13/2015,225,0.631526814,0.063152681
T,8/14/2015,226,0.5269797,0.05269797
T,8/15/2015,227,0.488641043,0.048864104
T,8/16/2015,228,0.272897676,0.027289768
T,8/17/2015,229,0.353253238,0.035325324
T,8/18/2015,230,0.422008174,0.042200817
T,8/19/2015,231,0.972047657,0.097204766
T,8/20/2015,232,0.444785014,0.044478501
T,8/21/2015,233,0.441814122,0.044181412
T,8/22/2015,234,0.611296453,0.061129645
T,8/23/2015,235,0.514813189,0.051481319
T,8/24/2015,236,0.58427548,0.058427548
T,8/25/2015,237,0.459780947,0.045978095
T,8/26/2015,238,0.528677353,0.052867735
T,8/27/2015,239,0.648503341,0.064850334
T,8/28/2015,240,0.641429788,0.064142979
T,8/29/2015,241,0.736639812,0.073663981
T,8/30/2015,242,0.686559057,0.068655906
T,8/31/2015,243,0.996805092,0.099680509
T,9/1/2015,244,0.583285183,0.058328518
T,9/2/2015,245,0.500949025,0.050094903
T,9/3/2015,246,0.898765648,0.089876565
